restaurant_id,restaurant_name,owner_name,city_id,cuisine_type,opening_time,closing_time,average_rating,total_reviews,commission_rate,is_active
34,Nori-Chopra Restaurant,Rehaan Gupta,4,Chinese,09:00:00,22:00:00,5.0,2192,28.9,1
35,"Sen, Dey and Sami Restaurant",Arya Shere,19,Burger,10:00:00,23:30:00,5.0,4572,24.93,1
36,Borra Group Restaurant,Chandresh Zachariah,10,Italian,09:00:00,22:00:00,4.9,4764,26.04,0
37,Chander and Sons Restaurant,Niharika Sunder,48,Pizza,08:00:00,22:00:00,4.2,4139,28.79,0
38,Kala-Rattan Restaurant,Nitesh Raghavan,4,Mughlai,08:00:00,22:00:00,3.1,576,25.13,0
39,Ramakrishnan LLC Restaurant,Bhavika Sampath,26,South Indian,10:00:00,22:00:00,4.2,345,24.29,1
40,"Sur, Dubey and Gupta Restaurant",Teerth Bhardwaj,43,Maharashtrian,10:00:00,23:30:00,3.6,2156,18.06,1
41,"Bhat, Murthy and Bhandari Restaurant",Vansha Thakkar,16,Fast Food,09:00:00,22:00:00,4.3,2477,21.86,0
42,"Dugar, Bhandari and Trivedi Restaurant",Quincy Biswas,1,Biryani,10:00:00,23:30:00,5.0,620,23.06,1
43,"Bir, Keer and Raval Restaurant",Yatin Baral,9,Street Food,09:00:00,22:00:00,4.8,3047,19.27,1
44,"Bumb, Saini and Virk Restaurant",Advika Jayaraman,35,Punjabi,09:00:00,23:30:00,5.0,4353,15.12,1
45,"Murthy, Khare and Lanka Restaurant",Karan Mital,43,South Indian,08:00:00,23:00:00,3.2,896,26.14,0
46,Mutti-Bora Restaurant,Tara Chaudhry,18,Fast Food,10:00:00,22:00:00,4.4,1687,25.31,1
47,Yogi and Sons Restaurant,Kevin Palla,33,Biryani,09:00:00,22:00:00,3.2,3489,27.44,0
48,Konda LLC Restaurant,Nakul Sarma,1,Pizza,08:00:00,23:30:00,5.0,1343,26.12,1
49,"Mittal, Wadhwa and Anand Restaurant",Hemang Desai,36,North Indian,08:00:00,22:00:00,4.9,1241,23.18,1
50,D’Alia-Chhabra Restaurant,Anita Manda,38,Mughlai,08:00:00,23:00:00,3.3,2545,20.47,0
51,"Kade, Oza and Jani Restaurant",Yashasvi Suresh,23,Italian,10:00:00,22:00:00,4.3,2917,26.7,1
52,Behl-Chanda Restaurant,Aradhana Basu,40,Punjabi,08:00:00,22:00:00,4.7,1470,28.22,0
53,Nath and Sons Restaurant,Neel Sathe,12,Punjabi,09:00:00,23:00:00,4.6,2052,19.0,0
54,"Sane, Andra and Choudhury Restaurant",Manthan Banik,25,Desserts,08:00:00,23:00:00,3.4,3790,20.24,0
55,Divan-Sani Restaurant,Benjamin Morar,15,North Indian,10:00:00,22:00:00,3.8,2302,27.97,1
56,Baral-Parmar Restaurant,Zaid Chauhan,23,Gujarati,10:00:00,23:00:00,4.4,4412,19.97,0
57,Ray-Dubey Restaurant,Nicholas Goel,8,Street Food,09:00:00,22:00:00,4.2,2194,15.57,1
58,Bakshi-Gola Restaurant,Nisha Kothari,23,Punjabi,09:00:00,23:00:00,4.2,4209,16.73,0
59,Dutta-Chokshi Restaurant,Balvan Singhal,17,North Indian,10:00:00,23:00:00,3.0,4430,25.3,0
60,Iyengar Group Restaurant,Dalaja Kari,24,Burger,08:00:00,23:30:00,4.8,2591,24.95,0
61,Bajwa Ltd Restaurant,Mohini Narasimhan,47,Street Food,09:00:00,23:30:00,3.6,3365,19.89,1
62,Boase-Mallick Restaurant,Yashodhara Ratta,36,Chinese,08:00:00,23:00:00,4.3,3125,25.16,0
63,"Yadav, Narula and Bala Restaurant",Advika Gokhale,40,Maharashtrian,09:00:00,23:00:00,4.1,23,19.56,0
64,"Lanka, Barad and Chopra Restaurant",Hemani Murthy,28,Cafe,10:00:00,23:30:00,4.3,3829,21.63,0
65,Vaidya-D’Alia Restaurant,Ranveer Kumar,33,Biryani,10:00:00,22:00:00,4.3,2344,22.73,1
66,Sarin Inc Restaurant,Januja Sankar,6,Desserts,08:00:00,23:30:00,3.6,1651,17.21,0
67,Narayanan PLC Restaurant,Jeet Mital,16,Biryani,10:00:00,22:00:00,3.9,4735,17.92,1
68,"More, Rege and Narain Restaurant",Chakrika Datta,32,Burger,08:00:00,22:00:00,4.3,65,28.39,0
69,Salvi Ltd Restaurant,Owen Mitra,50,Burger,08:00:00,22:00:00,4.6,4263,21.97,0
70,Acharya-Modi Restaurant,Shivansh Sani,8,Biryani,08:00:00,23:00:00,4.3,4598,23.93,1
71,"Nagy, Shroff and Sathe Restaurant",Tanay Vaidya,40,Desserts,10:00:00,23:30:00,3.9,4508,21.69,0
72,Gara-Chad Restaurant,Yutika Nayak,48,Desserts,09:00:00,23:00:00,3.5,2045,27.6,1
73,Keer Ltd Restaurant,Umang Issac,50,Cafe,10:00:00,23:00:00,4.3,2269,21.6,1
74,Bakshi Inc Restaurant,Vaishnavi Bora,16,Fast Food,09:00:00,23:00:00,4.8,680,17.08,0
75,Sachdeva-Hayer Restaurant,Warda Ratta,25,Punjabi,08:00:00,23:30:00,3.4,3418,21.11,1
76,Divan Ltd Restaurant,Hredhaan Sandal,27,North Indian,08:00:00,23:00:00,3.8,4804,29.19,0
77,Goda Ltd Restaurant,Chandresh Krish,49,Maharashtrian,09:00:00,23:00:00,3.0,2901,19.48,1
78,Shan and Sons Restaurant,Edhitha Savant,27,Mughlai,10:00:00,23:30:00,4.1,4961,28.47,1
79,"Thaman, Sandhu and Sehgal Restaurant",Vaishnavi Sengupta,15,Fast Food,09:00:00,23:00:00,3.1,2773,25.03,1
80,Kota-Malhotra Restaurant,William Maharaj,47,Chinese,09:00:00,22:00:00,5.0,4395,15.4,1
81,Brahmbhatt-Mangal Restaurant,Anita Nayak,38,Maharashtrian,10:00:00,22:00:00,3.2,3531,17.04,1
82,Zachariah-Buch Restaurant,Matthew Kashyap,12,North Indian,09:00:00,23:00:00,3.7,3744,19.9,1
83,Dua-Kala Restaurant,Oeshi Reddy,18,Cafe,09:00:00,23:00:00,4.7,3872,15.29,0
84,Shukla-Sagar Restaurant,Samuel Salvi,23,Italian,10:00:00,22:00:00,4.6,349,26.31,0
85,Bahri-Rai Restaurant,Abeer Pandey,13,Desserts,08:00:00,23:30:00,3.3,1054,22.1,0
86,Ramakrishnan-Saini Restaurant,Vinaya Kanda,37,Italian,09:00:00,23:30:00,3.5,3041,17.52,0
87,Sarin-Sunder Restaurant,Lopa Nayar,50,Desserts,08:00:00,23:00:00,3.2,230,28.93,1
88,"Ravel, Gandhi and Sibal Restaurant",Avi Ramesh,26,Punjabi,08:00:00,22:00:00,4.2,2009,16.53,1
89,"Bala, Chacko and Sangha Restaurant",Triya Gopal,44,Maharashtrian,08:00:00,23:30:00,4.6,2864,22.99,1
90,Lad Group Restaurant,Siddharth Sha,5,Mughlai,10:00:00,23:00:00,3.0,3461,27.33,0
91,Nazareth-Raghavan Restaurant,Oviya Krishnan,28,Pizza,10:00:00,23:00:00,4.4,3587,17.64,1
92,Singhal Inc Restaurant,Inaya Kapur,40,Cafe,10:00:00,23:00:00,3.9,4873,19.03,0
93,"Biswas, Baria and Balasubramanian Restaurant",Ryan Bahri,6,Fast Food,09:00:00,22:00:00,4.5,4688,24.15,1
94,"Dua, Khare and Date Restaurant",Ishwar Kamdar,22,North Indian,09:00:00,23:00:00,3.4,1757,20.32,1
95,Kunda-Pillay Restaurant,Ishwar Gade,22,Fast Food,10:00:00,23:30:00,4.8,4573,15.15,0
96,Chokshi-Bal Restaurant,Keya Ranganathan,6,Italian,10:00:00,23:00:00,4.0,1988,25.36,1
97,"Issac, Borra and Kibe Restaurant",Charvi Dara,29,Cafe,08:00:00,22:00:00,3.6,3332,25.38,1
98,"Barman, Palan and Walia Restaurant",Kamala Biswas,43,Maharashtrian,09:00:00,23:00:00,4.1,2836,21.38,1
99,"Om, Arora and Salvi Restaurant",Hitesh Sant,23,Punjabi,09:00:00,23:00:00,3.6,1908,16.81,0
100,Sharaf-Dua Restaurant,Patrick Vig,21,South Indian,10:00:00,23:30:00,4.9,1536,17.87,1
101,"Madan, Yohannan and Sule Restaurant",Rajata Loyal,18,Punjabi,10:00:00,23:30:00,4.2,843,27.49,1
102,Korpal-Chadha Restaurant,Shravya Kohli,15,Pizza,08:00:00,23:00:00,3.0,4395,16.9,0
103,Raghavan-Nayar Restaurant,Warda Nair,4,Mughlai,09:00:00,23:30:00,4.9,4041,16.54,0
104,Sura and Sons Restaurant,Aarna Oak,37,Fast Food,09:00:00,23:00:00,3.9,1530,29.48,1
105,Majumdar-Anne Restaurant,Frederick Khurana,31,South Indian,08:00:00,23:00:00,4.0,4746,24.44,0
106,"Ray, Suresh and Khosla Restaurant",Vritti Sem,10,Chinese,10:00:00,23:00:00,3.2,2053,16.78,1
107,Chander LLC Restaurant,Nidhi Kohli,39,Maharashtrian,10:00:00,22:00:00,4.6,3136,21.76,1
108,Pillay-Solanki Restaurant,Pavani Narayanan,20,Desserts,10:00:00,23:00:00,3.6,513,24.14,0
109,Setty-Madan Restaurant,Zayan Kashyap,49,Italian,10:00:00,22:00:00,3.5,685,17.36,0
110,Hans LLC Restaurant,Qasim Handa,36,South Indian,08:00:00,22:00:00,3.8,4884,22.05,0
111,Sule LLC Restaurant,Harish Hari,15,Fast Food,10:00:00,23:00:00,4.4,3739,16.07,0
112,Karan-Patel Restaurant,Chasmum Atwal,17,Cafe,10:00:00,23:30:00,4.3,1640,21.38,0
113,"Walla, Date and Mahal Restaurant",Chatura Master,42,Chinese,09:00:00,22:00:00,3.1,1379,26.89,1
114,"Date, Swaminathan and Chauhan Restaurant",Bhavani Singh,29,South Indian,09:00:00,23:30:00,3.6,3317,29.14,1
115,Sastry-Oak Restaurant,Charan Krishnan,29,South Indian,10:00:00,22:00:00,4.8,2660,24.06,0
116,Comar-Bhattacharyya Restaurant,Vyanjana Borah,6,Italian,10:00:00,23:30:00,4.2,189,29.99,1
117,"Bera, Doshi and Dixit Restaurant",Frederick Kothari,37,North Indian,08:00:00,23:00:00,4.0,3642,28.74,0
118,Saha PLC Restaurant,Lajita Seshadri,38,Burger,10:00:00,23:00:00,4.9,3870,20.22,1
119,Mishra-Sanghvi Restaurant,Darpan Chaudhary,21,Gujarati,08:00:00,22:00:00,3.7,4078,19.32,1
120,Kakar LLC Restaurant,Naksh Khatri,49,Mughlai,08:00:00,23:00:00,3.2,2087,19.85,1
121,Borde and Sons Restaurant,Nilima Seshadri,33,Desserts,08:00:00,23:30:00,4.7,3804,21.2,0
122,"Singhal, Manne and Bali Restaurant",Bhavya Mandal,34,Pizza,10:00:00,23:00:00,4.3,442,18.05,0
123,"Setty, Bobal and Kaur Restaurant",Rudra Sandal,19,Biryani,10:00:00,23:00:00,3.2,1980,25.65,1
124,Kar Ltd Restaurant,Amaira Dhar,36,North Indian,10:00:00,23:00:00,3.2,949,21.92,0
125,Bhasin and Sons Restaurant,Bhavya Sarna,42,Desserts,08:00:00,23:00:00,4.9,2410,22.63,1
126,Sidhu Ltd Restaurant,Neha Magar,27,Desserts,09:00:00,23:00:00,3.5,4535,17.17,0
127,"Zacharia, Tak and Sarma Restaurant",Balveer Sankaran,39,Mughlai,10:00:00,22:00:00,4.7,2283,26.59,1
128,"Naidu, Krishna and Bal Restaurant",Veer Bail,22,Street Food,10:00:00,23:00:00,4.6,2337,25.89,1
129,"Luthra, Baria and Gill Restaurant",Zilmil Sathe,10,Biryani,10:00:00,23:00:00,3.7,4541,26.44,1
130,Golla-Sarin Restaurant,Gavin Singhal,30,Street Food,09:00:00,22:00:00,5.0,1976,23.58,0
131,Rege-Nath Restaurant,Henry Dyal,50,Burger,08:00:00,23:00:00,4.5,3143,20.79,0
132,Sabharwal-Tandon Restaurant,Nandini Bansal,32,North Indian,08:00:00,23:30:00,4.9,2739,28.05,1
133,Chakrabarti-Murty Restaurant,Ekiya D’Alia,7,Mughlai,09:00:00,22:00:00,4.4,3378,28.06,0
134,Varkey-Agarwal Restaurant,Odika Bhagat,5,Biryani,09:00:00,23:00:00,4.2,3276,24.75,1
135,Vasa LLC Restaurant,Riya Behl,44,Desserts,10:00:00,23:00:00,4.9,4017,28.09,0
136,Loke PLC Restaurant,Bhavna Sarma,40,South Indian,08:00:00,23:30:00,4.4,2374,29.96,0
137,"Sundaram, Dara and Balakrishnan Restaurant",Nathan Mukhopadhyay,28,South Indian,10:00:00,23:30:00,4.7,3654,17.5,1
138,"Atwal, Reddy and Chander Restaurant",Ishaan Shenoy,2,North Indian,09:00:00,22:00:00,3.6,3090,21.46,0
139,Dube Group Restaurant,Yashodhara Mahajan,34,Burger,10:00:00,23:30:00,4.6,1412,17.63,1
140,Subramanian-Sodhi Restaurant,Tanmayi Dhillon,40,Gujarati,08:00:00,23:00:00,4.8,1192,18.48,1
141,Halder-Trivedi Restaurant,Ekaraj Majumdar,30,Fast Food,10:00:00,22:00:00,4.8,3831,28.52,0
142,Oak-Tripathi Restaurant,Aarnav Mandal,5,Biryani,09:00:00,23:30:00,3.6,3495,25.35,1
143,"Misra, Suri and Dixit Restaurant",Veda Pai,20,Italian,09:00:00,23:00:00,3.2,3144,23.58,1
144,Purohit-Shah Restaurant,Ranbir Khare,45,Fast Food,08:00:00,23:30:00,3.8,86,23.49,0
145,"Rajagopal, Kaur and Roy Restaurant",Eesha Solanki,39,Punjabi,09:00:00,23:00:00,4.6,1905,24.11,1
146,"Raj, Raju and Doshi Restaurant",Balhaar Date,15,Gujarati,08:00:00,23:30:00,3.5,1140,24.42,0
147,"Narula, Chaudhry and Sarraf Restaurant",Tanmayi Aurora,20,Cafe,09:00:00,22:00:00,4.2,1096,16.35,1
148,"Dhawan, Rout and Dubey Restaurant",Upasna Lanka,21,Punjabi,09:00:00,22:00:00,3.4,4438,28.15,1
149,Rao-Buch Restaurant,Lajita Nadig,34,Mughlai,09:00:00,22:00:00,3.5,3967,29.51,1
150,"Sura, Banik and Biswas Restaurant",Bhavna Karan,48,Desserts,09:00:00,22:00:00,3.9,636,17.11,0
151,"Chana, Saraf and Chaudhari Restaurant",Sachi Ganesan,44,Punjabi,10:00:00,23:00:00,4.9,4585,20.49,1
152,"Mistry, Balakrishnan and Batra Restaurant",Daksh Memon,1,Fast Food,10:00:00,22:00:00,3.9,2167,23.77,1
153,Prasad-Sankar Restaurant,Yash Wali,7,Gujarati,08:00:00,23:00:00,3.1,4619,19.92,0
154,Gole-Garde Restaurant,Farhan Raja,42,South Indian,10:00:00,23:00:00,4.8,2495,24.74,0
155,"Khosla, Tank and Dhar Restaurant",Triya Kumar,9,North Indian,08:00:00,23:00:00,5.0,971,16.46,0
156,Kumer-Andra Restaurant,Bhavna Dugar,25,Biryani,09:00:00,23:30:00,4.9,4445,21.29,0
157,Sathe LLC Restaurant,Panini Krishna,27,Gujarati,08:00:00,23:00:00,4.2,2311,15.49,1
158,Mittal-Issac Restaurant,Vasudha Chhabra,14,Biryani,09:00:00,22:00:00,4.7,833,29.71,1
159,Raj PLC Restaurant,Chakrika Merchant,35,Street Food,10:00:00,23:00:00,3.1,2280,17.85,0
160,Randhawa LLC Restaurant,Chandran Taneja,30,South Indian,10:00:00,22:00:00,4.3,4911,29.57,0
161,Karpe-Pandey Restaurant,Ranveer Krishna,22,Italian,08:00:00,23:30:00,3.4,4560,18.11,0
162,"Devan, Chatterjee and Baral Restaurant",Ridhi Bandi,15,Pizza,08:00:00,23:30:00,3.0,1205,29.81,1
163,"Patla, Deep and Chana Restaurant",Eta Sagar,12,South Indian,10:00:00,22:00:00,3.3,2954,26.85,0
164,Iyer and Sons Restaurant,Yachana Mahajan,38,Pizza,08:00:00,22:00:00,3.5,1058,26.13,0
165,Kurian Group Restaurant,Hamsini Contractor,48,South Indian,09:00:00,23:00:00,4.6,4224,23.9,1
166,Borra-Dhaliwal Restaurant,Mekhala Pau,33,Italian,10:00:00,22:00:00,4.5,4291,19.52,0
167,Rana Inc Restaurant,Jatin Sha,4,Biryani,09:00:00,23:00:00,4.4,4036,25.69,1
168,Lala-Raj Restaurant,Hritik Kaur,5,Street Food,08:00:00,23:00:00,4.2,558,16.89,1
169,Bakshi-Narang Restaurant,Dev Shetty,25,Maharashtrian,10:00:00,23:00:00,3.9,4979,21.45,0
170,"Mittal, Rege and Dada Restaurant",Chakradev Barad,42,Gujarati,10:00:00,23:30:00,4.7,3543,21.77,0
171,Tailor-D’Alia Restaurant,Wahab Yogi,27,Pizza,09:00:00,23:00:00,3.8,798,19.69,1
172,Rama Group Restaurant,Oni Dubey,43,Fast Food,09:00:00,22:00:00,4.4,3905,16.01,0
173,Chaudhary-Suri Restaurant,Ati Bali,6,Burger,08:00:00,23:30:00,4.5,1085,23.35,1
174,"Prabhakar, Kalla and Sawhney Restaurant",Warinder Patil,43,South Indian,09:00:00,23:00:00,4.7,3484,28.02,0
175,Pillai PLC Restaurant,Darsh Rao,19,Maharashtrian,09:00:00,23:00:00,3.2,4176,18.19,1
176,Gupta-Das Restaurant,Gavin Kala,15,Desserts,08:00:00,23:00:00,4.7,3031,16.72,1
177,"Bail, Bedi and Nath Restaurant",Jeremiah Jha,37,Italian,09:00:00,23:30:00,4.9,4580,15.39,1
178,Johal PLC Restaurant,Viraj Narasimhan,2,Chinese,09:00:00,23:30:00,4.5,2803,20.27,0
179,Agate LLC Restaurant,Kalpit Zachariah,10,Maharashtrian,10:00:00,23:00:00,3.1,271,16.38,0
180,Ghosh-Choudhary Restaurant,Karan Aurora,25,Burger,09:00:00,23:00:00,3.3,2572,25.82,0
181,Khanna-Naik Restaurant,Owen Lanka,4,Chinese,08:00:00,23:30:00,3.1,688,19.08,1
182,Date Ltd Restaurant,Ishaan Bhatt,32,Maharashtrian,09:00:00,23:00:00,3.5,4217,16.71,1
183,Sen-Pathak Restaurant,Siya Thakur,8,Fast Food,10:00:00,23:30:00,4.2,4336,25.01,0
184,Bassi Ltd Restaurant,Tara Balasubramanian,15,Burger,10:00:00,22:00:00,3.0,2489,29.18,0
185,Srinivas Group Restaurant,Hritik Swaminathan,49,Fast Food,09:00:00,23:00:00,3.2,4094,26.21,0
186,"Sawhney, Borah and Buch Restaurant",Manbir Bhatti,9,Burger,10:00:00,23:30:00,3.5,4597,27.5,1
187,Maharaj PLC Restaurant,Lakshmi Wali,5,Burger,10:00:00,22:00:00,3.9,3786,28.82,1
188,Setty-Tiwari Restaurant,Hardik Contractor,37,Burger,10:00:00,23:00:00,4.4,3441,19.34,1
189,"Kale, Sani and Seth Restaurant",Odika Nori,2,Pizza,08:00:00,23:30:00,3.9,2984,16.32,0
190,Rastogi-Sagar Restaurant,Dhriti Sane,16,Burger,10:00:00,23:00:00,4.0,3262,28.06,1
191,Kumer-Prasad Restaurant,Urvi Bhavsar,15,Pizza,08:00:00,22:00:00,4.0,954,22.96,0
192,Chada Inc Restaurant,Gopal Pradhan,50,Pizza,09:00:00,23:30:00,4.9,1229,18.54,0
193,Bhasin PLC Restaurant,Jason Roy,17,Italian,08:00:00,23:30:00,3.3,637,17.66,1
194,Sampath-Behl Restaurant,Devika Pandey,30,Cafe,10:00:00,23:30:00,3.9,4644,24.64,1
195,Tripathi and Sons Restaurant,Vasatika Kapur,41,Pizza,08:00:00,23:00:00,3.1,3642,24.47,1
196,Palla PLC Restaurant,Ishwar Mallick,38,North Indian,09:00:00,23:30:00,3.1,3802,21.78,0
197,"Kara, Sanghvi and Bal Restaurant",Ayush Gole,24,Desserts,09:00:00,22:00:00,4.3,759,24.23,1
198,More-Nori Restaurant,Abeer Golla,30,Maharashtrian,10:00:00,23:30:00,4.8,3704,28.64,0
199,Rattan Inc Restaurant,Azaan Chand,21,Maharashtrian,09:00:00,23:30:00,3.3,526,21.76,1
200,"Wali, Kale and Puri Restaurant",Sudiksha Om,46,South Indian,10:00:00,23:30:00,3.3,2049,25.61,1
201,Pingle LLC Restaurant,Frado Ben,34,Mughlai,10:00:00,22:00:00,3.7,2337,20.81,1
202,Dugar PLC Restaurant,Finn Magar,44,Maharashtrian,08:00:00,23:30:00,4.3,559,19.95,1
203,Samra-Sunder Restaurant,Oeshi Mahajan,19,Fast Food,10:00:00,23:30:00,4.9,4957,28.1,1
204,Vala Inc Restaurant,Qushi Choudhry,6,Maharashtrian,10:00:00,22:00:00,4.8,2561,29.52,1
205,Sur-Vyas Restaurant,Chakradev Kannan,9,Maharashtrian,10:00:00,22:00:00,3.6,3105,24.65,1
206,Bhakta-Amble Restaurant,Charvi Kakar,9,Gujarati,10:00:00,23:30:00,5.0,4332,16.4,1
207,Kumer LLC Restaurant,Jagdish Amble,33,Pizza,08:00:00,23:00:00,3.6,1774,20.13,1
208,Sani-Gill Restaurant,Lajita Walia,13,Italian,08:00:00,22:00:00,3.2,848,22.62,0
209,"Karpe, Tella and Pandya Restaurant",Mekhala Basak,43,Pizza,10:00:00,22:00:00,4.2,1283,17.43,0
210,Bahl-Sharaf Restaurant,Dhriti Sanghvi,47,Biryani,08:00:00,23:00:00,3.7,1965,29.54,1
211,"Ravel, Sahni and Mann Restaurant",Nidhi Bail,49,Punjabi,09:00:00,22:00:00,4.1,2555,29.48,1
212,Garg-Sharma Restaurant,Gaurang Sarkar,13,Pizza,10:00:00,23:30:00,5.0,3802,26.54,1
213,Kohli Group Restaurant,Farhan Randhawa,33,Mughlai,09:00:00,22:00:00,4.6,4973,17.08,1
214,Nori-Kant Restaurant,Om Bose,4,Gujarati,09:00:00,23:00:00,4.1,860,25.67,0
215,"Comar, Wali and Uppal Restaurant",Ikshita Panchal,19,South Indian,08:00:00,23:00:00,3.9,4225,17.21,1
216,"Divan, Keer and Chauhan Restaurant",Aahana Hora,6,Street Food,08:00:00,23:00:00,4.8,238,21.22,1
217,Dua Ltd Restaurant,Peter Tak,33,Pizza,08:00:00,23:00:00,5.0,3091,18.37,1
218,Sen-Naidu Restaurant,Matthew Sarraf,7,Desserts,10:00:00,23:30:00,3.7,1216,17.06,1
219,Singh Group Restaurant,Anvi Bhalla,31,Punjabi,08:00:00,23:30:00,3.9,63,28.59,0
220,Tripathi-Borah Restaurant,Triya Seth,17,Italian,08:00:00,23:30:00,4.9,4343,21.35,1
221,Bhandari LLC Restaurant,Faraj Chana,16,Fast Food,08:00:00,22:00:00,3.5,3764,15.94,1
222,"Tripathi, Rajagopalan and Shere Restaurant",Shivani Guha,39,Mughlai,08:00:00,23:30:00,4.0,2001,25.78,1
223,Soni-Thaker Restaurant,David Seshadri,28,North Indian,10:00:00,23:00:00,3.5,3432,17.81,0
224,Oza Ltd Restaurant,Yamini Gera,34,Pizza,08:00:00,23:30:00,4.1,4178,23.31,1
225,Kota Ltd Restaurant,Reva Viswanathan,31,North Indian,10:00:00,23:00:00,5.0,2097,26.21,1
226,"Dutt, Patla and Pradhan Restaurant",Lila Rege,5,Pizza,08:00:00,23:30:00,4.3,869,26.57,1
227,Ben-Natt Restaurant,Forum Chandra,9,North Indian,09:00:00,23:30:00,3.7,1454,27.46,1
228,"Raju, Mander and Krishnan Restaurant",Gauri Bumb,45,Biryani,10:00:00,22:00:00,4.6,536,25.74,1
229,"Dhaliwal, Palla and Mukherjee Restaurant",Kai Chad,3,Fast Food,08:00:00,22:00:00,4.6,363,19.73,1
230,Puri-Narasimhan Restaurant,Girik Sampath,33,Burger,10:00:00,23:00:00,3.5,1585,19.29,0
231,"Pathak, Badami and Patil Restaurant",Pranit Kala,42,Pizza,09:00:00,22:00:00,4.6,3599,28.34,1
232,Sunder-Handa Restaurant,Laksh Dubey,25,Pizza,08:00:00,23:00:00,4.4,3029,28.86,1
233,Merchant Inc Restaurant,Gayathri Deep,6,Punjabi,09:00:00,22:00:00,3.9,1498,23.18,1
234,"Puri, Dube and Gaba Restaurant",Noah Sarma,7,South Indian,09:00:00,23:30:00,3.6,3672,24.04,1
