partner_id,name,phone,city_id,joining_date,vehicle_type,average_rating,total_deliveries,is_active,gender,age
28,Aadhya Nath,9242786801,2,2022-03-16,Bicycle,4.3,19382,0,Female,18
29,Andrew Pingle,9982620450,46,2024-08-10,Bicycle,3.6,2308,0,Male,39
30,Jeet Chauhan,9586923226,33,2021-10-11,Bike,3.9,16006,0,Male,52
31,Ojas Sabharwal,9342160733,47,2025-06-25,Bicycle,4.4,8062,1,Male,44
32,Michael Kari,9303654145,7,2025-11-24,Bike,4.5,11709,1,Male,44
33,Oni Bala,9142940196,47,2024-07-04,Bike,4.5,3324,0,Female,43
34,Urmi Vaidya,9169340608,7,2026-02-22,Bike,3.8,17673,1,Female,26
35,Rajata Sankar,9159514846,12,2024-05-04,Scooter,4.2,2570,1,Female,53
36,Manbir Datta,9366299468,4,2021-07-27,Bicycle,5.0,583,0,Male,33
37,Luke Kade,9699577738,27,2025-08-04,Scooter,4.2,13241,0,Male,28
38,Chaman Mander,9895134332,1,2021-10-09,Scooter,3.9,15009,1,Female,45
39,Krisha Soman,9917693676,10,2023-08-23,Bike,3.9,2016,0,Female,38
40,Aarnav Chhabra,9632870831,4,2025-06-13,Bicycle,4.2,17503,0,Male,21
41,Vincent Wali,9895798687,12,2022-12-02,Bike,4.4,7807,1,Male,25
42,Umang Lad,9348734714,38,2023-07-24,Bicycle,3.6,2786,1,Male,55
43,Oviya Nagarajan,9812236231,17,2025-02-03,Bike,4.5,10395,0,Female,34
44,Oni Shukla,9603669096,9,2025-08-15,Bicycle,4.5,15082,1,Female,22
45,Patrick Misra,9668893734,30,2025-04-10,Bicycle,5.0,3376,0,Male,52
46,Akshay Ramachandran,9562729806,33,2026-05-14,Scooter,3.7,11536,0,Male,33
47,Chakrika Sangha,9272046537,19,2024-05-06,Bike,4.2,17900,1,Female,51
48,Ranveer Mall,9641708053,43,2022-02-24,Bicycle,3.9,3494,0,Male,34
49,Alexander Kota,9309232719,7,2023-06-03,Bicycle,4.3,9024,1,Male,31
50,Lavanya Pillay,9299124190,14,2024-03-21,Bicycle,4.5,8750,1,Female,34
51,Rushil Issac,9193149190,6,2024-07-08,Bicycle,4.1,9166,0,Male,18
52,Reva Biswas,9850671657,50,2022-11-13,Bike,4.5,8683,0,Female,46
53,Hema Vig,9498776945,36,2023-08-27,Bike,3.7,4984,0,Female,41
54,Liam Seshadri,9379965075,28,2023-02-10,Bike,3.6,12048,0,Male,40
55,Hitesh Pant,9454948083,44,2022-04-17,Bike,4.5,11689,1,Male,27
56,Samar Suresh,9837770143,11,2025-01-02,Bike,4.8,912,0,Male,39
57,Niharika Pillay,9788568557,43,2023-11-14,Bicycle,4.7,8842,0,Female,24
58,Ladli Kashyap,9135182337,3,2023-12-02,Scooter,3.8,15183,1,Female,37
59,Chandresh Hari,9435240824,15,2021-12-14,Bike,4.5,13156,1,Male,35
60,Madhav Date,9710947775,50,2023-02-18,Scooter,4.0,16792,1,Male,52
61,Lajita Sridhar,9116719022,2,2026-05-09,Bike,4.8,8659,0,Female,55
62,Chaman Kothari,9186999386,3,2025-05-25,Bike,4.4,11427,1,Female,45
63,Manthan Sanghvi,9499091334,25,2022-04-04,Bicycle,3.8,1554,1,Male,18
64,Jagdish Ghose,9812067974,24,2021-11-04,Scooter,3.6,10919,1,Male,25
65,Mitali Mandal,9713493618,33,2023-06-24,Scooter,4.5,10788,1,Female,36
66,Kiaan Dhar,9102499471,13,2025-07-21,Scooter,4.5,12523,0,Male,54
67,Tamanna Magar,9887719065,26,2023-09-11,Bicycle,4.8,10057,1,Female,31
68,Chandani Karnik,9990490278,38,2025-04-29,Bicycle,4.5,15336,1,Female,46
69,Gautam Sarin,9717565512,33,2024-05-15,Scooter,4.7,5660,0,Male,36
70,Yachana Mani,9680715451,6,2025-01-01,Bike,4.5,7461,0,Female,27
71,Vihaan Sachdev,9038597703,3,2023-11-02,Bike,5.0,2486,1,Male,44
72,Maanas Sarma,9710932480,46,2026-04-06,Bicycle,4.1,13195,0,Male,27
73,Chakradhar Kar,9171274846,49,2025-09-02,Bike,4.7,7270,0,Male,51
74,Keya Shan,9826398214,4,2025-02-04,Bicycle,3.9,4076,1,Female,26
75,Yashica Loke,9044997278,43,2025-09-07,Bicycle,5.0,19611,1,Female,46
76,Osha Purohit,9753396360,36,2024-04-09,Scooter,4.8,15654,1,Female,34
77,Rayaan Raju,9270289517,41,2022-05-31,Scooter,4.6,17181,1,Male,33
78,Advika Dhawan,9621745961,29,2024-05-11,Bike,4.6,7783,1,Female,39
79,Nitara Sura,9809134316,35,2022-05-27,Bike,3.7,7677,1,Female,27
80,Tristan Ganesan,9400504556,5,2022-10-21,Scooter,4.1,17880,1,Male,44
81,Samesh Gole,9221969379,14,2022-10-13,Scooter,4.1,19239,0,Male,54
82,Vedhika Kumar,9740748217,31,2024-07-03,Bike,4.9,9884,1,Female,44
83,Simon Krishna,9743671369,32,2024-08-14,Bike,3.9,16013,0,Male,42
84,Neelima Bains,9640909743,43,2024-07-24,Bicycle,4.7,5508,1,Female,26
85,Girish Krishna,9210470952,26,2022-05-02,Bicycle,4.3,988,0,Male,45
86,Nihal Sagar,9232858842,30,2023-10-02,Bike,3.6,12522,1,Male,31
87,Neelima Nigam,9171236851,21,2024-12-02,Scooter,4.6,12523,1,Female,44
88,Libni Yadav,9175496513,6,2025-07-29,Scooter,3.5,17775,0,Female,40
89,Nihal Kant,9174612004,42,2025-10-03,Bike,4.7,1419,0,Male,33
90,Chanakya Keer,9826758692,2,2025-02-04,Bicycle,3.7,4236,1,Male,25
91,Yash Reddy,9405377351,30,2024-09-09,Bicycle,3.9,12187,0,Male,25
92,Azaan Rao,9431713900,20,2024-05-27,Bike,4.4,10322,1,Male,43
93,Dev Jha,9183933529,5,2021-08-03,Bicycle,4.5,8057,0,Male,37
94,Elijah De,9842102053,37,2024-04-26,Bike,4.0,14137,1,Male,22
95,Harita Lanka,9026811775,1,2025-12-06,Scooter,4.7,3558,1,Female,41
96,Varsha Thakur,9390847007,46,2024-12-24,Bike,4.2,17196,1,Female,52
97,Darika Swaminathan,9711592124,30,2026-07-18,Scooter,4.7,19514,1,Female,38
98,Rayaan Wali,9478961183,6,2025-03-23,Scooter,4.8,8090,1,Male,54
99,Jhalak Sachdev,9576615654,22,2024-09-30,Bike,4.2,10750,0,Female,49
100,Warjas Bhavsar,9111615280,23,2026-07-22,Scooter,4.0,19634,1,Male,53
101,Darsh Roy,9560494519,34,2025-11-18,Bike,3.6,13417,1,Male,53
102,Faras Subramaniam,9315851493,45,2025-03-20,Scooter,4.5,16183,1,Male,19
103,Kiaan Balakrishnan,9244550229,19,2024-12-22,Bike,4.1,8072,1,Male,55
104,Ekta Balasubramanian,9183667525,31,2024-03-20,Bicycle,4.3,14042,1,Female,40
105,Chaman Ben,9229014767,18,2025-04-29,Scooter,3.9,4053,0,Female,38
106,Laban Kale,9815614978,48,2024-03-10,Bicycle,4.9,6166,0,Male,31
107,Januja Rana,9900343244,18,2024-05-10,Bicycle,4.4,17291,1,Female,24
108,Aarush Tank,9622683885,19,2022-03-06,Bike,4.0,10004,0,Male,52
109,Ansh Sarin,9071596966,18,2024-01-11,Bike,5.0,18232,1,Male,26
110,Tanmayi Bail,9529751613,7,2025-04-09,Bike,4.4,15481,1,Female,46
111,Zaitra Brar,9645352181,12,2026-01-29,Bike,3.9,15754,0,Female,22
112,Priya Panchal,9231243292,32,2022-03-17,Bike,4.4,1856,0,Female,27
113,Xiti Shetty,9997995527,6,2022-02-23,Bike,3.7,13737,0,Female,51
114,Vaishnavi Mitter,9490581477,29,2021-11-19,Scooter,3.9,19384,1,Female,37
115,Qarin Mangat,9119986798,40,2021-11-30,Bicycle,3.6,6908,0,Male,34
116,Girindra Nagy,9978207151,11,2025-11-09,Bike,3.8,2559,0,Male,18
117,Anusha Kota,9778892554,29,2024-11-10,Bicycle,4.4,9643,0,Female,32
118,Pallavi Ben,9515186449,46,2022-11-05,Scooter,4.6,14977,0,Female,32
119,Chaitaly Dhaliwal,9546291486,41,2024-05-11,Bicycle,4.5,6582,1,Female,25
120,Chakradhar Sampath,9850542357,42,2023-03-14,Bike,4.9,4760,0,Male,21
121,Ekapad Dubey,9141888059,20,2022-09-06,Bicycle,4.6,18751,1,Male,46
122,Faraj Gaba,9292706537,30,2023-12-28,Bicycle,4.0,13289,1,Male,50
123,Kamala Walla,9347359774,29,2024-10-24,Bike,4.4,14256,1,Female,34
124,Faris Iyengar,9924075818,6,2022-08-17,Bike,4.9,18948,0,Male,35
125,Benjamin Dyal,9478261375,49,2021-10-16,Bike,4.2,14590,1,Male,29
126,Avni Randhawa,9853615305,41,2022-05-29,Scooter,5.0,15501,1,Female,44
127,Eta Devan,9047277901,21,2021-09-23,Bicycle,3.7,5369,1,Female,44
128,Janaki Doctor,9898614341,19,2021-12-21,Bicycle,4.9,18125,0,Female,47
129,Shaurya Shankar,9117980893,21,2022-10-15,Scooter,4.0,13344,0,Male,52
130,Upadhriti Agarwal,9953962185,27,2022-02-21,Bike,3.8,11954,1,Female,46
131,Robert Singhal,9065405153,14,2022-06-13,Scooter,4.3,9538,1,Male,49
132,Ekalinga Basu,9585277221,2,2025-06-16,Bicycle,4.4,7941,0,Male,37
133,Manan Jaggi,9030548687,36,2023-09-21,Scooter,3.6,3817,1,Male,25
134,Girish Mangal,9505415667,32,2024-11-08,Bicycle,3.9,9059,1,Male,48
135,Idika Taneja,9758416169,16,2023-02-06,Scooter,4.3,12669,0,Female,50
136,Naveen Chauhan,9154479627,5,2024-07-22,Scooter,4.7,13696,1,Male,50
137,Anvi Pandit,9964016582,1,2021-10-30,Scooter,4.6,19332,1,Female,27
138,Urvashi Banerjee,9213556909,35,2022-11-14,Scooter,4.0,18185,1,Female,47
139,Reva Prabhu,9719285654,13,2023-09-09,Bicycle,3.9,12649,0,Female,44
140,Agastya Grewal,9786814473,21,2023-12-30,Bicycle,4.2,12592,1,Male,27
141,Irya Das,9217271551,3,2026-03-30,Bike,4.3,19439,1,Female,24
142,Netra Dugar,9258313237,7,2021-10-15,Bicycle,4.9,602,0,Female,44
143,Qarin Sibal,9829114678,5,2025-01-22,Scooter,4.7,8784,1,Male,43
144,Balhaar Dass,9517785289,22,2023-02-11,Bicycle,4.8,12552,1,Male,49
145,Tarak Thakkar,9018242253,40,2024-07-05,Bike,3.9,9516,0,Male,23
146,Chaaya Krishna,9384249818,7,2022-12-31,Bicycle,4.6,3393,1,Female,28
147,Harinakshi Nazareth,9900109439,2,2025-02-09,Bike,4.0,1938,1,Female,40
148,Yadavi Mann,9473647102,28,2025-04-21,Bike,3.9,13602,0,Female,28
149,Wyatt Shetty,9359255562,6,2024-09-19,Bicycle,4.8,7991,1,Male,55
150,Nathaniel Khurana,9714732104,15,2024-10-31,Scooter,4.5,15159,1,Male,18
151,Kritika Dutta,9595327877,19,2024-03-10,Bicycle,4.3,2520,1,Female,40
152,Alka Chana,9687339500,41,2023-12-17,Scooter,4.5,15069,1,Female,30
153,Vrinda Mangal,9801624565,31,2021-12-13,Bike,3.9,18840,1,Female,54
154,Ati Hayer,9584168784,45,2022-07-30,Scooter,3.5,13069,1,Female,18
155,Chanakya Ramesh,9558523986,39,2025-10-26,Bicycle,4.2,9478,0,Male,40
156,Arin Barad,9257872982,41,2024-05-09,Bike,4.4,4581,0,Male,20
157,Gautami Ramaswamy,9949588879,29,2024-02-12,Bike,4.4,4406,0,Female,36
158,Adweta Pillay,9516940974,48,2026-06-27,Scooter,3.8,4430,1,Female,51
159,Ati Srinivasan,9289623091,11,2023-03-10,Scooter,4.9,15889,1,Female,39
160,Thomas Murthy,9626368970,30,2022-09-28,Bike,3.7,7492,1,Male,53
161,Omaja Sridhar,9865278585,6,2023-10-25,Scooter,3.5,17682,0,Female,47
162,Inaya Koshy,9484344375,44,2025-08-24,Bicycle,4.5,19254,1,Female,41
163,Laksh Mani,9198665240,44,2024-01-05,Bike,4.2,18496,1,Male,32
164,Oscar Sathe,9473384842,41,2022-06-30,Scooter,4.9,10002,1,Male,25
165,Jairaj Bedi,9833016571,3,2022-09-26,Bike,4.0,16242,0,Male,24
166,Farhan Ray,9773454019,35,2023-07-17,Bike,4.1,12257,1,Male,55
167,Gagan Sahni,9206724004,27,2026-05-25,Bicycle,3.6,16134,1,Male,35
168,Oliver Mane,9788728743,45,2022-07-10,Scooter,3.8,14671,0,Male,41
169,Finn Shanker,9420549329,44,2025-01-05,Scooter,4.3,11853,0,Male,43
170,Yasti Narang,9161227530,13,2023-10-14,Bike,4.9,15000,0,Female,31
171,Jacob Sekhon,9454990453,4,2022-02-04,Scooter,3.9,4226,0,Male,22
172,Viraj Mohanty,9268414593,38,2023-06-06,Bike,4.7,7734,1,Male,27
173,William Dua,9795687833,18,2022-04-06,Bike,5.0,17801,1,Male,29
174,Pratyush Brahmbhatt,9910883982,43,2022-12-19,Bike,3.7,11838,0,Male,55
175,Yoshita Sathe,9139718707,2,2022-09-08,Bike,3.9,4253,1,Female,51
176,Vedant Bhardwaj,9874064039,48,2022-03-09,Bike,4.2,11963,0,Male,46
177,Siddharth Padmanabhan,9180170462,40,2022-09-19,Bike,4.6,17186,1,Male,47
178,Rachit Raja,9766182512,4,2026-02-19,Scooter,4.8,14068,0,Male,49
179,Zarna Datta,9300478686,5,2023-07-09,Bike,4.0,4960,0,Female,26
180,Veda Pal,9243106903,40,2023-04-27,Bicycle,4.4,10755,1,Female,51
181,Daksha Bandi,9790306738,30,2023-06-01,Bicycle,4.4,3349,0,Female,53
182,Ekaraj Thakur,9439599534,28,2022-10-14,Scooter,4.8,13659,1,Male,47
183,Triveni Mital,9408926870,27,2024-06-30,Bicycle,3.6,14084,1,Female,34
184,Zaitra Nagar,9662462873,10,2023-06-26,Bicycle,4.9,2299,0,Female,23
185,Ekbal Sheth,9086688263,28,2023-09-26,Bike,4.6,12310,0,Male,53
186,Noah Brar,9751830469,38,2021-11-25,Bicycle,4.3,4105,1,Male,40
187,Ijaya Kalla,9735403317,47,2023-08-18,Bike,5.0,19774,1,Female,40
188,Rushil Khatri,9854678544,37,2024-08-16,Bicycle,3.8,15900,0,Male,24
189,Vidhi Chaudhari,9753556093,36,2022-10-22,Scooter,3.7,9228,0,Female,45
190,Kalpit Sahni,9423536937,39,2026-04-01,Bicycle,4.7,8863,0,Male,29
191,Lavanya Suresh,9772522872,45,2026-03-06,Scooter,4.9,11602,0,Female,29
192,Anay Borde,9006231203,37,2025-11-13,Bicycle,4.1,4748,0,Male,23
193,Rachit Bhasin,9997700886,25,2021-08-31,Scooter,4.2,5257,1,Male,37
194,Zilmil Maharaj,9840862118,50,2022-10-31,Bicycle,4.4,1823,0,Female,28
195,Gopal Vyas,9454615679,44,2023-08-20,Bike,3.9,13994,1,Male,46
196,Netra Buch,9016668700,18,2023-01-09,Bike,4.6,3829,1,Female,45
197,Zaid Saraf,9591803397,19,2023-11-15,Bicycle,4.5,16045,1,Male,20
198,Baljiwan Mand,9890250392,26,2024-12-14,Bicycle,3.6,6798,1,Male,31
199,Mason Gaba,9939685621,49,2025-10-28,Scooter,3.9,4031,0,Male,49
200,Avni Chaudhari,9631599965,12,2021-10-26,Bike,4.1,7640,1,Female,22
201,Varenya Swaminathan,9358662961,48,2024-01-29,Bike,4.2,15165,0,Female,38
202,Bina Butala,9426265511,37,2021-08-11,Scooter,4.6,13786,1,Female,25
203,Vamakshi Parsa,9412126788,2,2025-12-04,Scooter,3.8,15176,1,Female,23
204,Dalaja Bal,9158199560,7,2024-01-18,Bike,4.2,13221,0,Female,43
205,Sara Chad,9839826224,48,2024-02-16,Scooter,3.8,5609,0,Female,50
206,Yatin Dhingra,9126464715,34,2023-09-16,Bicycle,3.8,11548,1,Male,27
207,Yug Hayre,9712406596,7,2024-05-14,Bike,3.9,5785,0,Male,22
208,Oliver Sani,9924593752,50,2024-12-14,Bicycle,4.2,18572,1,Male,54
209,Mugdha Swaminathan,9935646519,41,2023-04-07,Scooter,3.7,2337,1,Female,46
210,Amara Shenoy,9374167243,18,2023-09-19,Bicycle,3.6,16724,0,Female,37
211,Udyati Purohit,9179796886,29,2026-03-11,Bike,3.6,9506,0,Female,23
212,Radha Yadav,9911352909,30,2024-12-18,Bicycle,4.3,1444,1,Female,54
213,Tanveer Cherian,9014388899,21,2023-06-12,Bicycle,4.2,5043,0,Male,46
214,Rachit Raman,9798250714,22,2025-02-07,Bicycle,3.6,5754,0,Male,33
215,Devika Dhar,9545738757,29,2022-05-25,Bicycle,4.3,5301,1,Female,41
216,Varsha Nagar,9140105123,25,2025-12-15,Scooter,4.7,19691,0,Female,39
217,Fariq Narayanan,9867362266,22,2021-10-24,Bike,4.3,12766,1,Male,34
218,Umang Sanghvi,9603341918,22,2023-02-26,Bike,4.4,4734,1,Male,37
219,Omaja Hegde,9714785969,9,2024-11-26,Bicycle,4.6,2876,1,Female,53
220,Priya Pandey,9792499125,42,2022-07-27,Scooter,4.7,17348,0,Female,45
221,Niharika Dada,9252866929,2,2024-10-30,Scooter,4.0,7118,1,Female,49
222,Girik Sur,9828274225,15,2025-05-27,Bike,3.7,9792,0,Male,50
223,Praneel Andra,9723688767,43,2025-02-06,Scooter,4.8,4394,1,Male,27
224,Yash Ganesh,9190340438,12,2024-01-08,Bicycle,4.7,5524,1,Male,20
225,Vasudha Tandon,9881914858,24,2021-12-02,Bicycle,4.6,14655,1,Female,46
226,Ikbal Sandal,9134074517,35,2022-07-25,Bike,4.0,15468,0,Male,41
227,Jagrati Panchal,9962923309,30,2024-07-19,Scooter,4.7,16579,1,Female,28
228,Frado Naik,9449481260,39,2023-12-04,Bike,4.8,1809,1,Male,41
229,Dominic Krish,9253672946,46,2024-10-03,Bicycle,4.8,9440,0,Male,28
230,Bishakha Chander,9684577590,29,2022-05-11,Bicycle,3.7,14435,0,Female,32
231,Rachita Bhatnagar,9863637454,23,2024-06-09,Bike,4.1,13091,1,Female,33
232,Watika Oza,9001701277,6,2021-07-28,Scooter,3.8,10542,0,Female,39
233,Harrison Deo,9424154152,9,2022-01-02,Bike,3.9,15581,0,Male,48
234,Niharika Kaur,9611037129,40,2023-06-28,Bike,4.9,722,1,Female,31
235,Aayush Anand,9516271361,36,2022-06-09,Bicycle,4.4,13969,0,Male,36
236,Naksh Pillai,9426221890,20,2022-12-17,Bike,3.6,13856,1,Male,22
237,Parth Kala,9269731121,32,2024-10-31,Bicycle,4.3,16987,0,Male,27
238,Upadhriti Murty,9234138999,28,2023-12-28,Bike,4.4,7982,1,Female,29
239,Matthew Jha,9898364037,34,2024-11-05,Scooter,3.6,17337,0,Male,42
240,Kavya Tata,9918055269,3,2025-02-22,Bicycle,4.1,12332,1,Female,19
241,Harini Sinha,9109104300,5,2024-12-13,Scooter,3.9,3496,1,Female,26
242,Zashil Sagar,9661889241,23,2024-03-14,Bicycle,4.0,5837,1,Male,48
243,Harsh Dugal,9856914630,9,2023-08-24,Bike,4.6,15097,0,Male,36
244,Teerth D’Alia,9799042102,3,2021-08-30,Bike,4.8,10441,1,Male,50
245,Yadavi Palan,9884252410,35,2024-05-31,Scooter,3.9,6362,1,Female,40
246,Laban Viswanathan,9149177850,42,2025-10-25,Scooter,3.9,12159,1,Male,43
247,Raksha Dugar,9419138000,25,2023-08-24,Scooter,5.0,16359,1,Female,41
248,Vrishti Patla,9622086353,6,2025-02-08,Bicycle,4.1,14210,0,Female,52
249,Lopa Brahmbhatt,9951802380,21,2024-12-22,Bike,3.6,9787,1,Female,46
250,Vidhi Mandal,9451870534,11,2026-05-12,Bicycle,4.2,14751,0,Female,40
251,Keya Shetty,9597383206,18,2021-10-08,Bicycle,5.0,1979,0,Female,43
252,Prisha Andra,9506413836,33,2025-10-01,Bicycle,4.5,1120,0,Female,46
253,Ekavir Mammen,9103865719,9,2022-05-18,Bike,3.9,12103,1,Male,42
254,Ronith Borde,9990623445,39,2024-11-27,Bike,4.5,12255,1,Male,46
255,Nathan Sethi,9431329121,37,2022-12-18,Bike,4.3,13142,1,Male,35
256,Viraj Murthy,9618537474,8,2022-08-02,Bike,4.6,16452,1,Male,53
257,Farhan Modi,9903521356,17,2025-12-07,Scooter,4.6,7131,1,Male,49
258,Mason Lad,9206788317,8,2022-06-07,Bike,4.8,14912,0,Male,46
259,Darsh Arora,9032365199,44,2023-10-08,Scooter,4.5,2227,1,Male,37
260,Advay Bhattacharyya,9372151070,46,2022-12-29,Bicycle,4.9,5804,1,Male,50
261,Rudra Taneja,9066253244,8,2025-05-11,Bike,4.7,7857,1,Male,19
262,Anika Korpal,9476870146,36,2022-09-25,Bicycle,4.1,18176,0,Female,23
263,Harish Vora,9380657875,20,2026-05-18,Scooter,5.0,15784,1,Male,44
264,Rishi Madan,9205930407,9,2026-01-25,Scooter,4.5,14844,1,Male,51
265,Kamala Dutta,9133480396,9,2024-08-01,Bicycle,4.5,6062,0,Female,45
266,Gaurang Khalsa,9955905992,8,2026-05-10,Bicycle,3.7,5495,0,Male,38
267,Yatin More,9270103930,23,2026-01-16,Bicycle,4.8,2684,1,Male,30
268,Aachal Narula,9932525002,9,2026-07-22,Bicycle,4.0,17581,0,Female,50
269,Christopher Vora,9515691545,38,2022-09-22,Bicycle,3.7,19929,1,Male,54
270,Tejas Sur,9528953926,2,2024-03-05,Bike,3.6,18999,1,Male,31
271,Eesha Goel,9096902959,40,2023-06-12,Bicycle,3.5,17977,1,Female,37
272,Yadavi Dhaliwal,9513552157,16,2021-08-30,Bicycle,4.1,14961,0,Female,21
273,Henry Krish,9154100676,29,2022-12-24,Scooter,4.2,6785,1,Male,27
274,Xiti Radhakrishnan,9586179327,46,2022-03-12,Scooter,4.6,11417,1,Female,26
275,Nandini Bahri,9541152621,33,2026-03-21,Bicycle,3.7,8021,1,Female,25
276,Pallavi Subramanian,9062962015,29,2023-04-25,Bike,3.7,1758,1,Female,42
277,Tara Zachariah,9444310698,16,2025-09-28,Bike,4.7,19029,1,Female,30
278,Avi Patel,9061497310,32,2023-04-29,Bicycle,4.2,10210,1,Male,19
279,Madhav Bumb,9714677418,26,2024-11-11,Bicycle,4.2,7988,0,Male,55
280,Reva Raj,9527047743,4,2023-11-07,Bike,3.9,19679,1,Female,36
281,Faqid Chatterjee,9158693806,7,2026-01-04,Scooter,3.7,8766,1,Male,43
282,Vyanjana Keer,9741608989,3,2022-10-27,Scooter,3.6,18509,0,Female,41
283,Vanya Ghose,9233206163,5,2022-10-28,Scooter,4.3,18117,1,Female,25
284,Nathaniel Bhavsar,9168685487,7,2021-09-02,Scooter,4.1,11211,1,Male,27
285,Daksh Sachdeva,9229991191,39,2023-12-31,Bicycle,4.1,1419,0,Male,20
286,Samesh Lalla,9679970246,46,2022-10-15,Scooter,4.7,17117,1,Male,27
287,Anirudh Randhawa,9530745054,21,2024-03-18,Bicycle,4.0,12976,1,Male,55
288,Xalak Chaudhari,9324754691,33,2023-03-01,Bicycle,4.3,18545,1,Female,48
289,Hitesh Ray,9785082148,24,2024-12-30,Scooter,4.5,13749,1,Male,19
290,Zaitra Balakrishnan,9233030705,17,2023-04-05,Bicycle,4.7,19055,0,Female,21
291,Raksha Shetty,9861035797,11,2023-01-28,Bicycle,4.4,12558,0,Female,33
292,Parth Padmanabhan,9241406029,37,2023-05-22,Bicycle,3.7,720,1,Male,38
293,Jeevika Jhaveri,9468007229,10,2021-08-21,Scooter,4.5,13547,1,Female,21
294,Jonathan Mody,9466574374,34,2025-12-29,Bike,4.3,15775,1,Male,38
295,Charan Amble,9858994417,30,2022-02-09,Bicycle,4.0,11709,1,Male,48
296,Lakshit Nair,9444328309,16,2025-01-01,Scooter,4.3,7468,1,Male,36
297,Ekaraj Bal,9744666099,45,2023-03-08,Bicycle,4.2,15822,1,Male,53
298,Janya Warrior,9758428241,19,2025-07-27,Bike,4.4,17899,1,Female,43
299,Leela Goswami,9513534655,50,2023-10-13,Bike,3.9,9525,0,Female,40
300,Vedika Dalal,9709991738,42,2022-08-02,Scooter,4.6,7111,0,Female,52
301,Zilmil Misra,9602235697,36,2022-10-13,Bicycle,3.9,3679,0,Female,33
302,Gautam Buch,9752500743,43,2022-12-31,Bicycle,3.8,7729,0,Male,24
303,Wishi Chakrabarti,9296666760,22,2021-11-20,Bicycle,4.2,4604,0,Female,53
304,Rachit Atwal,9583003354,27,2022-08-30,Bicycle,4.9,15687,1,Male,30
305,Sanaya Thakur,9942104478,21,2026-01-09,Scooter,4.5,3031,0,Female,52
306,Teerth Desai,9575326033,12,2022-09-06,Scooter,4.8,5860,0,Male,43
307,Alka Thaman,9215064890,12,2021-12-22,Bicycle,4.9,9585,0,Female,18
308,Aishani Bava,9167618472,37,2023-04-25,Bicycle,3.7,11078,1,Female,47
309,Nidhi Salvi,9184992618,9,2022-07-26,Bicycle,4.2,6418,0,Female,39
310,Dakshesh Cherian,9739348356,47,2024-01-29,Scooter,4.5,6201,0,Male,39
311,Anusha Taneja,9375300119,37,2025-10-08,Bicycle,4.6,5850,1,Female,45
312,Chandani Vaidya,9114374470,6,2022-06-01,Scooter,4.5,6154,0,Female,48
313,Anusha Mannan,9556110022,16,2024-05-12,Bike,3.9,7817,1,Female,35
314,Urvashi Loyal,9155216674,20,2024-11-05,Bicycle,4.6,474,1,Female,41
315,Shivansh Ganesan,9120216979,4,2025-04-17,Bicycle,3.7,10153,0,Male,43
